"Date","Primary Sales USD"
"2018-02-20",20810219.49
"2018-02-21",20864945.36
"2018-02-22",20911189.92
"2018-02-23",20965125.71
"2018-02-24",21042528.63
"2018-02-25",21124345.14
"2018-02-26",21202675.97
"2018-02-27",21267269.2
"2018-02-28",21345039.01
"2018-03-01",21405684.92
"2018-03-02",21456473.18
"2018-03-03",21501117.13
"2018-03-04",21671667.24
"2018-03-05",21741730.88
"2018-03-06",21811812.83
"2018-03-07",21881825.91
"2018-03-08",21942489.65
"2018-03-09",22000762.1
"2018-03-10",22078280.07
"2018-03-11",22125966.47
"2018-03-12",22168714.05
"2018-03-13",22215928.5
"2018-03-14",22249367.76
"2018-03-15",22276245.14
"2018-03-16",22301086.75
"2018-03-17",22328863.83
"2018-03-18",22357309.45
"2018-03-19",22380849.83
"2018-03-20",22403799.07
"2018-03-21",22431344.72
"2018-03-22",22458386.02
"2018-03-23",22483083.55
"2018-03-24",22506884.06
"2018-03-25",22553414.01
"2018-03-26",22585762.88
"2018-03-27",22621400.84
"2018-03-28",22652346.8
"2018-03-29",22677303.68
"2018-03-30",22708271.2
"2018-03-31",22730243.88
"2018-04-01",22748079.11
"2018-04-02",22766110.49
"2018-04-03",22787326.27
"2018-04-04",22806948.58
"2018-04-05",22823402.01
"2018-04-06",22845473.6
"2018-04-07",22858778.38
"2018-04-08",22888512.44
"2018-04-09",22912355.57
"2018-04-10",22935877.06
"2018-04-11",22956933.32
"2018-04-12",22977992.44
"2018-04-13",23009414.13
"2018-04-14",23038973.33
"2018-04-15",23062499.94
"2018-04-16",23090980.4
"2018-04-17",23122607.97
"2018-04-18",23147698.78
"2018-04-19",23175650.4
"2018-04-20",23204338.61
"2018-04-21",23227402.94
"2018-04-22",23243049.75
"2018-04-23",23354872.95
"2018-04-24",23383438.62
"2018-04-25",23410586.31
"2018-04-26",23434768.88
"2018-04-27",23457598.95
"2018-04-28",23493825.42
"2018-04-29",23552898.16
"2018-04-30",23581043.41
"2018-05-01",23600938.47
"2018-05-02",23620561.06
"2018-05-03",23636900.81
"2018-05-04",23670775.91
"2018-05-05",23701345.34
"2018-05-06",23732166.49
"2018-05-07",23759500.18
"2018-05-08",23788312.61
"2018-05-09",23816007.86
"2018-05-10",23837428.57
"2018-05-11",23858993.83
"2018-05-12",23876076.41
"2018-05-13",23892120.97
"2018-05-14",23910247.44
"2018-05-15",23926264.68
"2018-05-16",23945209.22
"2018-05-17",23974779.2
"2018-05-18",24011395.89
"2018-05-19",24038903.61
"2018-05-20",24059796.45
"2018-05-21",24078561.36
"2018-05-22",24097146.31
"2018-05-23",24113862.56
"2018-05-24",24138015.85
"2018-05-25",24155351.02
"2018-05-26",24183740.35
"2018-05-27",24207453.39
"2018-05-28",24227404.63
"2018-05-29",24264947.77
"2018-05-30",24296861.5
"2018-05-31",24319515.78
"2018-06-01",24339966.7
"2018-06-02",24362321.82
"2018-06-03",24409738.48
"2018-06-04",24434521.22
"2018-06-05",24454943.18
"2018-06-06",24472670.41
"2018-06-07",24501080.15
"2018-06-08",24525149.75
"2018-06-09",24545756.53
"2018-06-10",24563854.86
"2018-06-11",24584099.09
"2018-06-12",24602299.22
"2018-06-13",24625813.36
"2018-06-14",24640260.7
"2018-06-15",24666569.1
"2018-06-16",24681215.04
"2018-06-17",24697763.85
"2018-06-18",24719902.57
"2018-06-19",24741167.85
"2018-06-20",24756094.64
"2018-06-21",24777086.09
"2018-06-22",24808050.09
"2018-06-23",24824221.12
"2018-06-24",24841512.03
"2018-06-25",24864867.45
"2018-06-26",24877047.46
"2018-06-27",24890702.59
"2018-06-28",24903523.67
"2018-06-29",24921285.15
"2018-06-30",24934366.07
"2018-07-01",24943978.28
"2018-07-02",24949487.12
"2018-07-03",24960412.81
"2018-07-04",24969497.87
"2018-07-05",24985238.06
"2018-07-06",24998715.73
"2018-07-07",25009719.39
"2018-07-08",25021094.52
"2018-07-09",25041056.54
"2018-07-10",25053192.16
"2018-07-11",25066891.59
"2018-07-12",25086529.29
"2018-07-13",25105429.14
"2018-07-14",25116804.08
"2018-07-15",25132255.96
"2018-07-16",25148055.07
"2018-07-17",25163345.07
"2018-07-18",25184187.86
"2018-07-19",25195487.41
"2018-07-20",25207939.32
"2018-07-21",25224047.06
"2018-07-22",25238282.66
"2018-07-23",25255477.59
"2018-07-24",25266203.66
"2018-07-25",25284463.49
"2018-07-26",25302795.9
"2018-07-27",25686259.83
"2018-07-28",26568130.7
"2018-07-29",26585570.6
"2018-07-30",26723703.91
"2018-07-31",26800778.6
"2018-08-01",26817365.49
"2018-08-02",27029472.38
"2018-08-03",27043706.89
"2018-08-04",27053960.19
"2018-08-05",27065238.02
"2018-08-06",27073503.54
"2018-08-07",27081907.48
"2018-08-08",27093701.32
"2018-08-09",27110526.92
"2018-08-10",27117987.07
"2018-08-11",27125337.13
"2018-08-12",27138159.98
"2018-08-13",27152438.48
"2018-08-14",27204189.34
"2018-08-15",27243685.83
"2018-08-16",27279088.86
"2018-08-17",27309392.3
"2018-08-18",27353498.92
"2018-08-19",27399188.72
"2018-08-20",27425893.04
"2018-08-21",27475356.94
"2018-08-22",27504041.09
"2018-08-23",27547033.05
"2018-08-24",27600074.83
"2018-08-25",27732350.29
"2018-08-26",27766040.57
"2018-08-27",27793452.37
"2018-08-28",27830961.42
"2018-08-29",27870705.58
"2018-08-30",27913278.83
"2018-08-31",27963393.24
"2018-09-01",28017050.8
"2018-09-02",28071721.5
"2018-09-03",28108630.26
"2018-09-04",28135070.63
"2018-09-05",28165124.3
"2018-09-06",28188164.32
"2018-09-07",28222111.84
"2018-09-08",28246173.69
"2018-09-09",28279901.97
"2018-09-10",28302405.17
"2018-09-11",28327891.84
"2018-09-12",28366188.4
"2018-09-13",28385745.77
"2018-09-14",28405108.38
"2018-09-15",28418138.76
"2018-09-16",28433068.45
