"Date","Secondary Sales USD"
"2019-02-06",35072439.57
"2019-02-07",35097639.28
"2019-02-08",35119157.31
"2019-02-09",35132795.71
"2019-02-10",35176326.49
"2019-02-11",35212381.67
"2019-02-12",35234435.02
"2019-02-13",35252883.89
"2019-02-14",35277215.9
"2019-02-15",35303455.39
"2019-02-16",35325194.29
"2019-02-17",35366134.15
"2019-02-18",35393050.66
"2019-02-19",35446460.47
"2019-02-20",35480593.62
"2019-02-21",35519297.54
"2019-02-22",35553773.84
"2019-02-23",35579518.67
"2019-02-24",35603400.24
"2019-02-25",35635922.27
"2019-02-26",35684187.7
"2019-02-27",35730646.12
"2019-02-28",35762358.81
"2019-03-01",35809567.62
"2019-03-02",35872711.13
"2019-03-03",35915043.53
"2019-03-04",35975768.35
"2019-03-05",36054831.08
"2019-03-06",36105186.44
"2019-03-07",36137056.54
"2019-03-08",36190342.41
"2019-03-09",36245134.63
"2019-03-10",36310217.96
"2019-03-11",36350804.19
"2019-03-12",36448185.23
"2019-03-13",36497280.45
"2019-03-14",36562981
"2019-03-15",36621295.11
"2019-03-16",36666292.34
"2019-03-17",36738099.91
"2019-03-18",36776760.32
"2019-03-19",36821746.94
"2019-03-20",36872346.87
"2019-03-21",36907696.59
"2019-03-22",36934812.02
"2019-03-23",36976905.39
"2019-03-24",37047379.65
"2019-03-25",37094477.08
"2019-03-26",37151146.67
"2019-03-27",37190966.89
"2019-03-28",37288382.48
"2019-03-29",37339624.94
"2019-03-30",37389688.98
"2019-03-31",37443642.37
"2019-04-01",37513537.34
"2019-04-02",37599230.59
"2019-04-03",37658038.34
"2019-04-04",37722312.91
"2019-04-05",37779859.55
"2019-04-06",37825557.54
"2019-04-07",37862414.65
"2019-04-08",37913235.31
"2019-04-09",37965526
"2019-04-10",38006143.78
"2019-04-11",38052143.05
"2019-04-12",38094509.19
"2019-04-13",38140379.34
"2019-04-14",38170267.63
"2019-04-15",38239101.88
"2019-04-16",38275311.19
"2019-04-17",38301181.89
"2019-04-18",38337782.05
"2019-04-19",38377967.55
"2019-04-20",38410256.82
"2019-04-21",38458170.56
"2019-04-22",38485505.8
"2019-04-23",38520996.91
"2019-04-24",38582910.74
"2019-04-25",38617431.2
"2019-04-26",38658413.42
"2019-04-27",38718816.74
"2019-04-28",38756233.58
"2019-04-29",38787077.75
"2019-04-30",38805822.27
"2019-05-01",38832587.58
"2019-05-02",38892660.65
"2019-05-03",38930787.04
"2019-05-04",38960789.93
"2019-05-05",39001608.39
"2019-05-06",39031051.39
"2019-05-07",39061921.39
"2019-05-08",39095070.77
"2019-05-09",39124010.14
"2019-05-10",39173064.23
"2019-05-11",39209415.4
"2019-05-12",39258902.62
"2019-05-13",39308702.46
"2019-05-14",39339553.86
"2019-05-15",39400614.93
"2019-05-16",39441893.33
"2019-05-17",39523417.02
"2019-05-18",39570422.79
"2019-05-19",39610800.54
"2019-05-20",39668416
"2019-05-21",39730071
"2019-05-22",39779940.39
"2019-05-23",39827214.75
"2019-05-24",39959993.83
"2019-05-25",40009262.02
"2019-05-26",40064950.63
"2019-05-27",40114888.94
"2019-05-28",40192781.92
"2019-05-29",40249394.95
"2019-05-30",40297724.25
"2019-05-31",40362299.53
"2019-06-01",40401284.64
"2019-06-02",40450139.51
"2019-06-03",40546774.61
"2019-06-04",40583325.26
"2019-06-05",40632280.89
"2019-06-06",40682452.41
"2019-06-07",40763612.5
"2019-06-08",40786894.07
"2019-06-09",40817107.41
"2019-06-10",40858819.84
"2019-06-11",40885837.8
"2019-06-12",40919684.61
"2019-06-13",40979134.53
"2019-06-14",41028588.64
"2019-06-15",41071092.14
"2019-06-16",41133538.1
"2019-06-17",41174412.35
"2019-06-18",41244168.5
"2019-06-19",41296996.46
"2019-06-20",41365600.35
"2019-06-21",41417855.47
"2019-06-22",41495781.24
"2019-06-23",41542470.08
"2019-06-24",41656863.55
"2019-06-25",41688515.44
"2019-06-26",41752524.06
"2019-06-27",41791660.18
"2019-06-28",41830091.35
"2019-06-29",41881517.54
"2019-06-30",41909612.97
"2019-07-01",41928474.81
"2019-07-02",41954414.28
"2019-07-03",41983729.04
"2019-07-04",42029822.55
"2019-07-05",42074570.71
"2019-07-06",42096430.88
"2019-07-07",42138563.76
"2019-07-08",42185079.12
"2019-07-09",42241971.15
"2019-07-10",42322121.53
"2019-07-11",42373583.25
"2019-07-12",42401930.46
"2019-07-13",42431533.38
"2019-07-14",42477840.88
"2019-07-15",42516506.91
"2019-07-16",42557926.19
"2019-07-17",42612246.74
"2019-07-18",42663164.42
"2019-07-19",42683122.13
"2019-07-20",42708208.67
"2019-07-21",42735105.05
"2019-07-22",42764413.46
"2019-07-23",42786144.39
"2019-07-24",42805290.02
"2019-07-25",42822920.47
"2019-07-26",42846433.14
"2019-07-27",42872822.86
"2019-07-28",42898695.85
"2019-07-29",42942685.74
"2019-07-30",42971774.74
"2019-07-31",43022700.39
"2019-08-01",43090336.88
"2019-08-02",43117101.07
"2019-08-03",43150384.7
"2019-08-04",43177605.14
"2019-08-05",43201007.85
"2019-08-06",43228074.13
"2019-08-07",43257704.7
"2019-08-08",43290078.64
"2019-08-09",43325932.61
"2019-08-10",43342769.55
"2019-08-11",43361395.21
"2019-08-12",43461009.57
"2019-08-13",43496830.05
"2019-08-14",43522047.95
"2019-08-15",43546721.19
"2019-08-16",43585774.03
"2019-08-17",43602238.68
"2019-08-18",43616266.06
"2019-08-19",43640909.85
"2019-08-20",43658937.14
"2019-08-21",43678834.96
"2019-08-22",43714330.83
"2019-08-23",43747211.1
"2019-08-24",43782932.68
"2019-08-25",43811081.25
"2019-08-26",43836484.39
"2019-08-27",43855658.94
"2019-08-28",43912978.43
"2019-08-29",43949431.63
"2019-08-30",43971389.23
"2019-08-31",44008118.04
"2019-09-01",44042494.93
"2019-09-02",44076051.58
"2019-09-03",44106069.65
"2019-09-04",44173086.07
"2019-09-05",44203490.69
"2019-09-06",44226506.14
"2019-09-07",44243903.13
"2019-09-08",44284290.55
"2019-09-09",44323473.93
"2019-09-10",44349519.49
"2019-09-11",44376947.32
"2019-09-12",44409311.99
"2019-09-13",44467556.37
"2019-09-14",44497611.52
"2019-09-15",44519458.71
"2019-09-16",44548243.92
"2019-09-17",44575585.73
"2019-09-18",44600932.52
"2019-09-19",44672477.73
