"Date","Secondary Sales USD"
"2017-06-22",0
"2017-06-23",1020.3
"2017-06-24",2261.14
"2017-06-25",2778.69
"2017-06-26",3203.32
"2017-06-27",5296.23
"2017-06-28",6543.49
"2017-06-29",8729.21
"2017-06-30",10437.36
"2017-07-01",13578.16
"2017-07-02",16502.77
"2017-07-03",23752.56
"2017-07-04",37258.49
"2017-07-05",39098.78
"2017-07-06",46120.95
"2017-07-07",53203.46
"2017-07-08",56431.34
"2017-07-09",57400.45
"2017-07-10",62310.5
"2017-07-11",68019.87
"2017-07-12",69798.6
"2017-07-13",75099.57
"2017-07-14",75547.97
"2017-07-15",76097.66
"2017-07-16",76416.85
"2017-07-17",77869.05
"2017-07-18",80790.72
"2017-07-19",84227.47
"2017-07-20",86580.18
"2017-07-21",88715.19
"2017-07-22",89759.95
"2017-07-23",90181.65
"2017-07-24",91308.47
"2017-07-25",93077.94
"2017-07-26",93392.45
"2017-07-27",93504.21
"2017-07-28",93878.21
"2017-07-29",94885.01
"2017-07-30",96364
"2017-07-31",96577.45
"2017-08-01",96686.45
"2017-08-02",97212.19
"2017-08-03",101812.09
"2017-08-04",101812.09
"2017-08-05",103331.02
"2017-08-06",103331.02
"2017-08-07",103407.54
"2017-08-08",104405.14
"2017-08-09",104672.5
"2017-08-10",104853.54
"2017-08-11",105512.91
"2017-08-12",106551.43
"2017-08-13",107356.72
"2017-08-14",107860.59
"2017-08-15",108121.48
"2017-08-16",108331.51
"2017-08-17",108481.79
"2017-08-18",108570.63
"2017-08-19",108689.28
"2017-08-20",108851.62
"2017-08-21",109644.24
"2017-08-22",109731.65
"2017-08-23",109886.87
"2017-08-24",109886.87
"2017-08-25",110143.51
"2017-08-26",110242.47
"2017-08-27",110242.47
"2017-08-28",111388.32
"2017-08-29",111480.02
"2017-08-30",111654.32
"2017-08-31",111757.71
"2017-09-01",112263.82
"2017-09-02",112333.1
"2017-09-03",112333.1
"2017-09-04",112647.8
"2017-09-05",112647.8
"2017-09-06",112647.8
"2017-09-07",112647.8
"2017-09-08",112723.92
"2017-09-09",112723.92
"2017-09-10",112925.94
"2017-09-11",113065.28
"2017-09-12",113146.65
"2017-09-13",113146.65
"2017-09-14",113146.65
"2017-09-15",113146.65
"2017-09-16",113217.64
"2017-09-17",113351.36
"2017-09-18",113414.71
"2017-09-19",113793.31
"2017-09-20",114166.06
"2017-09-21",114374.6
"2017-09-22",114445.74
"2017-09-23",114689.31
"2017-09-24",114745.45
"2017-09-25",114745.45
"2017-09-26",114745.45
"2017-09-27",115168.46
"2017-09-28",115204.66
"2017-09-29",115519.01
"2017-09-30",115679.53
"2017-10-01",116129.05
"2017-10-02",116129.05
"2017-10-03",116129.05
"2017-10-04",116187.65
"2017-10-05",116187.65
"2017-10-06",116187.65
"2017-10-07",116187.65
"2017-10-08",116280.69
"2017-10-09",116307.32
"2017-10-10",116307.32
"2017-10-11",116374.04
"2017-10-12",116413.3
"2017-10-13",116768.15
"2017-10-14",117023.01
"2017-10-15",117200.76
"2017-10-16",117380.03
"2017-10-17",117380.03
"2017-10-18",117380.03
"2017-10-19",117407.79
"2017-10-20",117504.54
"2017-10-21",117582.72
"2017-10-22",117582.72
"2017-10-23",117582.72
"2017-10-24",117582.72
"2017-10-25",117627.5
"2017-10-26",117896.42
"2017-10-27",118075.17
"2017-10-28",118253.05
"2017-10-29",118274.31
"2017-10-30",118491.75
"2017-10-31",118713.34
"2017-11-01",118824.42
"2017-11-02",118936.38
"2017-11-03",118936.38
"2017-11-04",119023.37
"2017-11-05",119023.37
"2017-11-06",119023.37
"2017-11-07",119289.08
"2017-11-08",119289.08
"2017-11-09",119437.35
"2017-11-10",119437.35
"2017-11-11",119437.35
"2017-11-12",119528.46
"2017-11-13",119591.53
"2017-11-14",119659.31
"2017-11-15",119796.37
"2017-11-16",119796.37
"2017-11-17",119796.37
"2017-11-18",119796.37
"2017-11-19",119831.72
"2017-11-20",119978.03
"2017-11-21",120002.79
"2017-11-22",120425.82
"2017-11-23",121397.09
"2017-11-24",126433.56
"2017-11-25",127794.81
"2017-11-26",129091.76
"2017-11-27",130508.67
"2017-11-28",133647.92
"2017-11-29",147572.66
"2017-11-30",160982.07
"2017-12-01",177601.6
"2017-12-02",232742.87
"2017-12-03",653890.17
"2017-12-04",2627743.3
"2017-12-05",4370926.5
"2017-12-06",5902613.24
"2017-12-07",7405749.9
"2017-12-08",9162454.65
"2017-12-09",10347505.74
"2017-12-10",11282646.08
"2017-12-11",12032491.13
"2017-12-12",12549883.56
"2017-12-13",12970398.29
"2017-12-14",13359089.62
"2017-12-15",13591642.79
"2017-12-16",13935737.96
"2017-12-17",14181303.58
"2017-12-18",14360140.2
"2017-12-19",14472528.87
"2017-12-20",14664493.35
"2017-12-21",14794737.31
"2017-12-22",14890906.33
"2017-12-23",14965834.46
"2017-12-24",15028856.61
"2017-12-25",15089761.88
"2017-12-26",15158495.95
"2017-12-27",15218830.01
"2017-12-28",15271874.62
"2017-12-29",15319641.87
"2017-12-30",15357475.27
"2017-12-31",15400976.77
"2018-01-01",15473909.82
"2018-01-02",15515764.57
"2018-01-03",15539736.98
"2018-01-04",15563714.57
"2018-01-05",15579085.87
"2018-01-06",15626035.17
"2018-01-07",15651746.66
"2018-01-08",15678320.86
"2018-01-09",15701048.37
"2018-01-10",15731078.12
"2018-01-11",15752269.14
"2018-01-12",15784956.31
"2018-01-13",15813601.4
"2018-01-14",15851529.78
"2018-01-15",15872020.84
"2018-01-16",15904885.33
"2018-01-17",15923967.48
"2018-01-18",15948808.61
"2018-01-19",15993535.43
"2018-01-20",16107664.94
"2018-01-21",16127634.78
"2018-01-22",16147427.18
"2018-01-23",16169562.17
"2018-01-24",16191001.76
"2018-01-25",16205728.91
"2018-01-26",16225372.37
"2018-01-27",16248136.09
"2018-01-28",16290106.87
"2018-01-29",16309181.74
"2018-01-30",16335428.73
"2018-01-31",16400579.66
"2018-02-01",16412354.59
"2018-02-02",16431839.33
"2018-02-03",16448151.86
"2018-02-04",16461018.86
"2018-02-05",16474769.63
"2018-02-06",16490802.09
"2018-02-07",16507992.31
"2018-02-08",16522906.74
"2018-02-09",16548910.73
"2018-02-10",16596207.34
"2018-02-11",16631790.55
"2018-02-12",16658557.33
"2018-02-13",16713112.83
"2018-02-14",17030538.25
"2018-02-15",17680437.33
"2018-02-16",17764413.26
"2018-02-17",17865937.76
"2018-02-18",17974772.33
"2018-02-19",18104260.97
"2018-02-20",18299315.84
"2018-02-21",18337901.63
"2018-02-22",18370983.83
"2018-02-23",18434689.25
"2018-02-24",18528399.16
"2018-02-25",18571621.7
"2018-02-26",18627298.09
"2018-02-27",18729281.12
"2018-02-28",18778585.02
"2018-03-01",18814032.38
"2018-03-02",18842746.52
"2018-03-03",18882848.21
"2018-03-04",18927503.82
"2018-03-05",18992479.91
"2018-03-06",19042704.69
"2018-03-07",19139255.52
"2018-03-08",19180678.85
"2018-03-09",19212941.72
"2018-03-10",19232981.07
"2018-03-11",19251628.07
"2018-03-12",19278163.47
"2018-03-13",19294793.56
"2018-03-14",19318522.42
"2018-03-15",19332451.54
"2018-03-16",19355860.07
"2018-03-17",19380235.45
"2018-03-18",19391594.19
"2018-03-19",19420460.66
"2018-03-20",19613169.85
"2018-03-21",19845549.73
"2018-03-22",19958540.39
"2018-03-23",20226941.83
"2018-03-24",20321203.32
"2018-03-25",20389147.99
"2018-03-26",20453533.86
"2018-03-27",20523052.85
"2018-03-28",20682514.56
"2018-03-29",20746945.49
"2018-03-30",20930118.03
"2018-03-31",20987245.63
"2018-04-01",21043854.09
"2018-04-02",21087059.45
"2018-04-03",21143237.08
"2018-04-04",21173879.26
"2018-04-05",21220753.16
"2018-04-06",21266936.74
"2018-04-07",21296050.54
"2018-04-08",21337567.14
"2018-04-09",21362310.15
"2018-04-10",21391970.83
"2018-04-11",21441705.35
"2018-04-12",21464867.48
"2018-04-13",21526139.6
"2018-04-14",21582412.78
"2018-04-15",21650672.25
"2018-04-16",21683771.61
"2018-04-17",21737194.33
"2018-04-18",21779684.2
"2018-04-19",21812035.62
"2018-04-20",21833301.68
