"Date","Unique Sellers"
"2018-03-17",27550
"2018-03-18",27598
"2018-03-19",27653
"2018-03-20",27739
"2018-03-21",27923
"2018-03-22",28033
"2018-03-23",28155
"2018-03-24",28223
"2018-03-25",28341
"2018-03-26",28399
"2018-03-27",28442
"2018-03-28",28493
"2018-03-29",28536
"2018-03-30",28594
"2018-03-31",28654
"2018-04-01",28726
"2018-04-02",28818
"2018-04-03",28848
"2018-04-04",28883
"2018-04-05",28936
"2018-04-06",29021
"2018-04-07",29157
"2018-04-08",29255
"2018-04-09",29265
"2018-04-10",29277
"2018-04-11",29296
"2018-04-12",29308
"2018-04-13",29306
"2018-04-14",29430
"2018-04-15",29491
"2018-04-16",29580
"2018-04-17",29621
"2018-04-18",29664
"2018-04-19",29693
"2018-04-20",29723
"2018-04-21",29750
"2018-04-22",29766
"2018-04-23",29784
"2018-04-24",29899
"2018-04-25",29932
"2018-04-26",29972
"2018-04-27",30068
"2018-04-28",30178
"2018-04-29",30254
"2018-04-30",30418
"2018-05-01",30574
"2018-05-02",30677
"2018-05-03",30802
"2018-05-04",30853
"2018-05-05",30905
"2018-05-06",30987
"2018-05-07",31019
"2018-05-08",31100
"2018-05-09",31184
"2018-05-10",31264
"2018-05-11",31282
"2018-05-12",31297
"2018-05-13",31328
"2018-05-14",31355
"2018-05-15",31373
"2018-05-16",31392
"2018-05-17",31412
"2018-05-18",31423
"2018-05-19",31444
"2018-05-20",31500
"2018-05-21",31535
"2018-05-22",31614
"2018-05-23",31702
"2018-05-24",31697
"2018-05-25",31703
"2018-05-26",31708
"2018-05-27",31717
"2018-05-28",31723
"2018-05-29",31733
"2018-05-30",31750
"2018-05-31",31767
"2018-06-01",31779
"2018-06-02",31783
"2018-06-03",31780
"2018-06-04",31774
"2018-06-05",31781
"2018-06-06",31899
"2018-06-07",31948
"2018-06-08",31973
"2018-06-09",32017
"2018-06-10",32055
"2018-06-11",32106
"2018-06-12",32150
"2018-06-13",32172
"2018-06-14",32194
"2018-06-15",32207
"2018-06-16",32220
"2018-06-17",32244
"2018-06-18",32361
"2018-06-19",32402
"2018-06-20",32420
"2018-06-21",32506
"2018-06-22",32534
"2018-06-23",32558
"2018-06-24",32591
"2018-06-25",32603
"2018-06-26",32626
"2018-06-27",32647
"2018-06-28",32673
"2018-06-29",32702
"2018-06-30",32801
"2018-07-01",32823
"2018-07-02",32826
"2018-07-03",32838
"2018-07-04",32849
"2018-07-05",32856
"2018-07-06",32875
"2018-07-07",32892
"2018-07-08",32922
"2018-07-09",32939
"2018-07-10",32960
"2018-07-11",32979
"2018-07-12",32998
"2018-07-13",33037
"2018-07-14",33040
"2018-07-15",33059
"2018-07-16",33082
"2018-07-17",33108
"2018-07-18",33123
"2018-07-19",33156
"2018-07-20",33252
"2018-07-21",33273
"2018-07-22",33296
"2018-07-23",33316
"2018-07-24",33344
"2018-07-25",33378
"2018-07-26",33426
"2018-07-27",33462
"2018-07-28",33514
"2018-07-29",33535
"2018-07-30",33563
"2018-07-31",33601
"2018-08-01",33638
"2018-08-02",33701
"2018-08-03",33723
"2018-08-04",33762
"2018-08-05",33800
"2018-08-06",33847
"2018-08-07",33903
"2018-08-08",33918
"2018-08-09",33932
"2018-08-10",33956
"2018-08-11",33968
"2018-08-12",34018
"2018-08-13",34091
"2018-08-14",34139
"2018-08-15",34151
"2018-08-16",34164
"2018-08-17",34178
"2018-08-18",34196
"2018-08-19",34212
"2018-08-20",34227
"2018-08-21",34240
"2018-08-22",34248
"2018-08-23",34257
"2018-08-24",34256
"2018-08-25",34380
"2018-08-26",34429
"2018-08-27",34449
"2018-08-28",34523
"2018-08-29",34565
"2018-08-30",34598
"2018-08-31",34644
"2018-09-01",34687
"2018-09-02",34709
"2018-09-03",34797
"2018-09-04",34872
"2018-09-05",34911
"2018-09-06",34981
"2018-09-07",35052
"2018-09-08",35091
"2018-09-09",35131
"2018-09-10",35181
"2018-09-11",35291
"2018-09-12",35380
"2018-09-13",35452
"2018-09-14",35494
"2018-09-15",35571
"2018-09-16",35613
"2018-09-17",35642
"2018-09-18",35715
"2018-09-19",35747
"2018-09-20",35768
"2018-09-21",35800
"2018-09-22",35827
"2018-09-23",35865
"2018-09-24",35923
"2018-09-25",35991
"2018-09-26",36221
"2018-09-27",36414
"2018-09-28",36439
"2018-09-29",36472
"2018-09-30",36493
"2018-10-01",36574
"2018-10-02",36581
"2018-10-03",36591
"2018-10-04",36601
"2018-10-05",36630
"2018-10-06",36644
"2018-10-07",36668
"2018-10-08",36692
"2018-10-09",36716
"2018-10-10",36734
"2018-10-11",36741
"2018-10-12",36808
"2018-10-13",36849
"2018-10-14",36881
"2018-10-15",36917
"2018-10-16",36967
"2018-10-17",36997
"2018-10-18",37028
"2018-10-19",37086
"2018-10-20",37111
"2018-10-21",37143
"2018-10-22",37163
"2018-10-23",37185
"2018-10-24",37252
"2018-10-25",37302
"2018-10-26",37350
"2018-10-27",37364
"2018-10-28",37389
"2018-10-29",37419
"2018-10-30",37440
"2018-10-31",37463
"2018-11-01",37498
"2018-11-02",37531
"2018-11-03",37563
"2018-11-04",37609
"2018-11-05",37698
"2018-11-06",37736
"2018-11-07",37765
"2018-11-08",37783
"2018-11-09",37826
"2018-11-10",37860
"2018-11-11",37889
"2018-11-12",37914
"2018-11-13",37942
"2018-11-14",37982
"2018-11-15",38018
"2018-11-16",38050
"2018-11-17",38091
"2018-11-18",38175
"2018-11-19",38194
"2018-11-20",38247
"2018-11-21",38290
"2018-11-22",38341
"2018-11-23",38388
"2018-11-24",38452
"2018-11-25",38489
"2018-11-26",38591
"2018-11-27",38637
"2018-11-28",38676
"2018-11-29",38712
"2018-11-30",38772
"2018-12-01",38833
"2018-12-02",38852
"2018-12-03",38902
"2018-12-04",39022
"2018-12-05",39625
"2018-12-06",39656
"2018-12-07",39759
"2018-12-08",39850
"2018-12-09",39876
"2018-12-10",39892
"2018-12-11",39927
"2018-12-12",39952
"2018-12-13",40016
"2018-12-14",40055
"2018-12-15",40091
"2018-12-16",40110
"2018-12-17",40167
"2018-12-18",40184
"2018-12-19",40222
"2018-12-20",40266
"2018-12-21",40285
"2018-12-22",40318
"2018-12-23",40337
"2018-12-24",40373
"2018-12-25",40398
"2018-12-26",40444
"2018-12-27",40456
"2018-12-28",40490
"2018-12-29",40521
"2018-12-30",40547
"2018-12-31",40613
"2019-01-01",40648
"2019-01-02",40667
"2019-01-03",40709
"2019-01-04",40759
"2019-01-05",40793
"2019-01-06",40823
"2019-01-07",40882
"2019-01-08",40927
"2019-01-09",40979
"2019-01-10",41049
"2019-01-11",41092
"2019-01-12",41130
"2019-01-13",41204
"2019-01-14",41254
"2019-01-15",41324
"2019-01-16",41395
"2019-01-17",41462
"2019-01-18",41492
"2019-01-19",41514
"2019-01-20",41541
"2019-01-21",41575
"2019-01-22",41599
"2019-01-23",41644
"2019-01-24",41668
"2019-01-25",41748
"2019-01-26",41796
"2019-01-27",41833
"2019-01-28",41902
"2019-01-29",41976
"2019-01-30",42006
"2019-01-31",42051
"2019-02-01",42103
"2019-02-02",42190
"2019-02-03",42312
"2019-02-04",42360
"2019-02-05",42418
"2019-02-06",42510
"2019-02-07",42627
"2019-02-08",42678
"2019-02-09",42773
"2019-02-10",42801
"2019-02-11",42832
"2019-02-12",42862
"2019-02-13",42885
"2019-02-14",42919
"2019-02-15",42945
"2019-02-16",42976
"2019-02-17",43064
"2019-02-18",43131
"2019-02-19",43156
"2019-02-20",43175
"2019-02-21",43209
"2019-02-22",43237
"2019-02-23",43254
"2019-02-24",43279
"2019-02-25",43306
"2019-02-26",43344
"2019-02-27",43367
"2019-02-28",43399
"2019-03-01",43485
"2019-03-02",43539
"2019-03-03",43592
"2019-03-04",43658
"2019-03-05",43682
"2019-03-06",43706
"2019-03-07",43803
"2019-03-08",43852
"2019-03-09",43917
"2019-03-10",43942
"2019-03-11",43974
"2019-03-12",44029
"2019-03-13",44055
"2019-03-14",44091
"2019-03-15",44134
"2019-03-16",44193
"2019-03-17",44239
"2019-03-18",44282
"2019-03-19",44328
"2019-03-20",44374
"2019-03-21",44418
"2019-03-22",44465
"2019-03-23",44526
"2019-03-24",44591
"2019-03-25",44670
"2019-03-26",44740
"2019-03-27",44768
"2019-03-28",44859
"2019-03-29",44899
"2019-03-30",44972
"2019-03-31",45021
"2019-04-01",45122
"2019-04-02",45191
"2019-04-03",45207
"2019-04-04",45238
"2019-04-05",45299
"2019-04-06",45360
"2019-04-07",45389
"2019-04-08",45431
"2019-04-09",45496
"2019-04-10",45543
"2019-04-11",45593
"2019-04-12",45651
"2019-04-13",45698
"2019-04-14",45726
"2019-04-15",45779
