"Date","Primary Sales"
"2018-03-16",676609
"2018-03-17",679431
"2018-03-18",681502
"2018-03-19",683778
"2018-03-20",685699
"2018-03-21",687668
"2018-03-22",689744
"2018-03-23",691550
"2018-03-24",693506
"2018-03-25",698719
"2018-03-26",700741
"2018-03-27",702879
"2018-03-28",705580
"2018-03-29",708593
"2018-03-30",713293
"2018-03-31",715450
"2018-04-01",717387
"2018-04-02",719380
"2018-04-03",721546
"2018-04-04",723508
"2018-04-05",725240
"2018-04-06",727717
"2018-04-07",729403
"2018-04-08",735615
"2018-04-09",739796
"2018-04-10",742070
"2018-04-11",744280
"2018-04-12",746069
"2018-04-13",750646
"2018-04-14",754339
"2018-04-15",757130
"2018-04-16",759778
"2018-04-17",763787
"2018-04-18",767049
"2018-04-19",770038
"2018-04-20",773246
"2018-04-21",774968
"2018-04-22",776066
"2018-04-23",777253
"2018-04-24",778646
"2018-04-25",779981
"2018-04-26",781120
"2018-04-27",783446
"2018-04-28",787939
"2018-04-29",797169
"2018-04-30",799781
"2018-05-01",801329
"2018-05-02",802826
"2018-05-03",804000
"2018-05-04",806187
"2018-05-05",809099
"2018-05-06",811256
"2018-05-07",813297
"2018-05-08",816130
"2018-05-09",817949
"2018-05-10",819446
"2018-05-11",821214
"2018-05-12",822852
"2018-05-13",824087
"2018-05-14",825049
"2018-05-15",826158
"2018-05-16",827891
"2018-05-17",831219
"2018-05-18",834062
"2018-05-19",837122
"2018-05-20",839176
"2018-05-21",840450
"2018-05-22",841870
"2018-05-23",843212
"2018-05-24",845397
"2018-05-25",846654
"2018-05-26",848665
"2018-05-27",850795
"2018-05-28",852266
"2018-05-29",855768
"2018-05-30",859580
"2018-05-31",862259
"2018-06-01",864369
"2018-06-02",866728
"2018-06-03",868558
"2018-06-04",870277
"2018-06-05",872240
"2018-06-06",873620
"2018-06-07",875172
"2018-06-08",876641
"2018-06-09",878849
"2018-06-10",880457
"2018-06-11",883321
"2018-06-12",885617
"2018-06-13",887288
"2018-06-14",888844
"2018-06-15",893509
"2018-06-16",895487
"2018-06-17",897491
"2018-06-18",899646
"2018-06-19",901798
