"Date","Sales USD"
"2020-01-16",96435113.24
"2020-01-17",96508011.59
"2020-01-18",96589419.81
"2020-01-19",96645820.18
"2020-01-20",96713539.72
"2020-01-21",96809718.33
"2020-01-22",96901551.3
"2020-01-23",97073897.89
"2020-01-24",97152859.71
"2020-01-25",97209670.83
"2020-01-26",97282307.4
"2020-01-27",97347938.56
"2020-01-28",97434580.19
"2020-01-29",97511888.67
"2020-01-30",97563553.27
"2020-01-31",97645133.31
"2020-02-01",97715700.64
"2020-02-02",97793099.64
"2020-02-03",97884444.86
"2020-02-04",97969446.16
"2020-02-05",98103313.26
"2020-02-06",98217879.34
"2020-02-07",98443427.35
"2020-02-08",98532191.22
"2020-02-09",98724746.41
"2020-02-10",98871776.72
"2020-02-11",99349347.42
"2020-02-12",99568803.54
"2020-02-13",99728422.1
"2020-02-14",99843632.95
"2020-02-15",99956250.91
"2020-02-16",100097030.03
"2020-02-17",100274303.4
"2020-02-18",100472504.05
"2020-02-19",100592982.04
"2020-02-20",100706407.88
"2020-02-21",100893000.05
"2020-02-22",101013104.8
"2020-02-23",101124078.1
"2020-02-24",101271194.89
"2020-02-25",101391050.1
"2020-02-26",101492816.51
"2020-02-27",101592552.32
"2020-02-28",101711137.94
"2020-02-29",101783923.51
"2020-03-01",101908674.26
"2020-03-02",102055221.36
"2020-03-03",102184104.19
"2020-03-04",102273753.45
"2020-03-05",102343296
"2020-03-06",102420683.2
"2020-03-07",102490995.12
"2020-03-08",102576956.88
"2020-03-09",102642322.03
"2020-03-10",102723508.48
"2020-03-11",102795727.94
"2020-03-12",102836982.47
"2020-03-13",102886121.7
"2020-03-14",102925678.35
"2020-03-15",102968168.26
"2020-03-16",103004852.01
"2020-03-17",103061420.78
"2020-03-18",103106203.11
"2020-03-19",103200370.89
"2020-03-20",103248865.7
"2020-03-21",103306468.08
"2020-03-22",103373075
"2020-03-23",103430319.78
"2020-03-24",103496745.01
"2020-03-25",103543294.74
