"Date","Sales USD"
"2018-09-18",55682762.06
"2018-09-19",55799479.39
"2018-09-20",55898477.01
"2018-09-21",56056816.64
"2018-09-22",56124323.51
"2018-09-23",56328539.53
"2018-09-24",56414257.07
"2018-09-25",56479523.98
"2018-09-26",56560912.01
"2018-09-27",56663950.93
"2018-09-28",56713641.92
"2018-09-29",56797949.76
"2018-09-30",56849959.63
"2018-10-01",56921837.81
"2018-10-02",57009480.09
"2018-10-03",57165943.48
"2018-10-04",57285398.75
"2018-10-05",57398476.94
"2018-10-06",57473219.61
"2018-10-07",57556501.69
"2018-10-08",57616835.56
"2018-10-09",57691290.34
"2018-10-10",57782065.59
"2018-10-11",57922756.46
"2018-10-12",58092660.2
"2018-10-13",58221551.46
"2018-10-14",58291407.38
"2018-10-15",58385789.91
"2018-10-16",58437968.82
"2018-10-17",58523711.85
"2018-10-18",58622762.85
"2018-10-19",58702189.04
"2018-10-20",58753440.2
"2018-10-21",58801204.59
"2018-10-22",58988749.93
"2018-10-23",59084935.88
"2018-10-24",59177849.74
"2018-10-25",59237867.44
"2018-10-26",59291597.68
"2018-10-27",59349834.19
"2018-10-28",59411303.9
"2018-10-29",59474349.15
"2018-10-30",59602238.31
"2018-10-31",59642828.54
"2018-11-01",59749224.46
"2018-11-02",59870534.76
"2018-11-03",59918329.63
"2018-11-04",59975512.4
"2018-11-05",60249220.29
"2018-11-06",60348328.05
"2018-11-07",60472800.9
"2018-11-08",60591622.79
"2018-11-09",60669941.43
"2018-11-10",60736189.1
"2018-11-11",60966329.01
"2018-11-12",61065941.81
"2018-11-13",61215222.62
"2018-11-14",61361733.13
"2018-11-15",61487562.49
"2018-11-16",61581053.57
"2018-11-17",61620526.27
"2018-11-18",61678230.1
"2018-11-19",61781731.19
"2018-11-20",61850212.46
"2018-11-21",61891148.02
"2018-11-22",61945342.07
"2018-11-23",62013933.42
"2018-11-24",62064354.05
"2018-11-25",62094139.09
"2018-11-26",62141506.63
"2018-11-27",62192032.65
"2018-11-28",62240789.95
"2018-11-29",62339219.09
"2018-11-30",62441418.59
"2018-12-01",62502587.27
"2018-12-02",62557763.02
"2018-12-03",62593827.75
"2018-12-04",62638256.1
"2018-12-05",62695295.42
"2018-12-06",62729035.35
"2018-12-07",62760675.54
"2018-12-08",62828159.84
"2018-12-09",62870569.47
"2018-12-10",62901633.9
"2018-12-11",63069208.31
"2018-12-12",63945667.66
"2018-12-13",63991294.25
"2018-12-14",64175306.09
"2018-12-15",64289103.82
"2018-12-16",64482374.27
"2018-12-17",64537156.7
"2018-12-18",64595798.05
"2018-12-19",64989262.33
"2018-12-20",66005074.5
"2018-12-21",68895879.13
"2018-12-22",69366417.11
"2018-12-23",70732711.65
"2018-12-24",70802872.51
"2018-12-25",70869346.83
"2018-12-26",70895690.03
"2018-12-27",70923741.29
"2018-12-28",70983437.63
"2018-12-29",71008528.01
"2018-12-30",71063230.19
"2018-12-31",71126183.5
"2019-01-01",71146462.62
"2019-01-02",71175546.57
"2019-01-03",71220535.11
"2019-01-04",71271983.77
"2019-01-05",71302916.5
"2019-01-06",72035861.78
"2019-01-07",72072913.26
"2019-01-08",72127974.09
