"Date","Secondary Sales"
"2018-04-21",420837
"2018-04-22",421555
"2018-04-23",422232
"2018-04-24",423060
"2018-04-25",424010
"2018-04-26",424665
"2018-04-27",425727
"2018-04-28",426509
"2018-04-29",427212
"2018-04-30",427951
"2018-05-01",428651
"2018-05-02",429261
"2018-05-03",429812
"2018-05-04",430481
"2018-05-05",431086
"2018-05-06",431759
"2018-05-07",432452
"2018-05-08",433343
"2018-05-09",433914
"2018-05-10",434507
"2018-05-11",435246
"2018-05-12",435882
"2018-05-13",436449
"2018-05-14",436896
"2018-05-15",437432
"2018-05-16",438153
"2018-05-17",438708
"2018-05-18",439242
"2018-05-19",439831
"2018-05-20",440440
"2018-05-21",440994
"2018-05-22",441426
"2018-05-23",441796
"2018-05-24",442647
"2018-05-25",443698
"2018-05-26",444432
"2018-05-27",445133
"2018-05-28",445763
"2018-05-29",446372
"2018-05-30",447095
"2018-05-31",447766
"2018-06-01",448535
"2018-06-02",449089
"2018-06-03",449587
"2018-06-04",450059
"2018-06-05",450610
"2018-06-06",451241
"2018-06-07",451862
"2018-06-08",452457
"2018-06-09",453030
"2018-06-10",453487
"2018-06-11",454004
"2018-06-12",454611
"2018-06-13",455212
"2018-06-14",455582
"2018-06-15",456170
"2018-06-16",456548
"2018-06-17",456979
"2018-06-18",457579
"2018-06-19",458191
"2018-06-20",458808
"2018-06-21",459399
"2018-06-22",460271
"2018-06-23",460965
"2018-06-24",461563
"2018-06-25",462177
"2018-06-26",462774
"2018-06-27",463363
"2018-06-28",463939
"2018-06-29",464661
"2018-06-30",465017
"2018-07-01",465278
"2018-07-02",465404
"2018-07-03",465568
"2018-07-04",465714
"2018-07-05",466019
"2018-07-06",466243
"2018-07-07",466381
"2018-07-08",466719
"2018-07-09",467106
"2018-07-10",467482
"2018-07-11",468111
"2018-07-12",468624
"2018-07-13",469104
"2018-07-14",469340
"2018-07-15",469669
"2018-07-16",470116
"2018-07-17",470623
"2018-07-18",471139
"2018-07-19",471960
"2018-07-20",472645
"2018-07-21",473118
"2018-07-22",473698
"2018-07-23",474544
"2018-07-24",475128
"2018-07-25",475635
"2018-07-26",476284
"2018-07-27",476956
"2018-07-28",477522
"2018-07-29",478078
"2018-07-30",478570
"2018-07-31",479113
"2018-08-01",479599
"2018-08-02",480255
"2018-08-03",480835
"2018-08-04",481505
"2018-08-05",482210
"2018-08-06",482844
"2018-08-07",483334
"2018-08-08",483632
"2018-08-09",483968
"2018-08-10",484395
"2018-08-11",484979
"2018-08-12",485669
"2018-08-13",486464
"2018-08-14",487361
"2018-08-15",488096
"2018-08-16",488897
"2018-08-17",489771
"2018-08-18",491339
"2018-08-19",492546
"2018-08-20",493595
"2018-08-21",494579
"2018-08-22",495224
"2018-08-23",496219
"2018-08-24",497324
"2018-08-25",498490
"2018-08-26",499299
"2018-08-27",500063
"2018-08-28",500966
"2018-08-29",502090
"2018-08-30",503305
"2018-08-31",504500
"2018-09-01",505678
"2018-09-02",506837
"2018-09-03",507864
"2018-09-04",508823
"2018-09-05",510060
"2018-09-06",511501
"2018-09-07",513137
"2018-09-08",514568
"2018-09-09",516353
"2018-09-10",517729
"2018-09-11",519459
"2018-09-12",521174
"2018-09-13",522520
"2018-09-14",523925
"2018-09-15",525005
"2018-09-16",525879
"2018-09-17",526755
"2018-09-18",527907
"2018-09-19",528896
"2018-09-20",529706
"2018-09-21",530495
"2018-09-22",531376
"2018-09-23",532329
"2018-09-24",533288
"2018-09-25",534354
"2018-09-26",535419
"2018-09-27",536637
"2018-09-28",537501
"2018-09-29",538410
"2018-09-30",539243
"2018-10-01",539860
"2018-10-02",540498
"2018-10-03",541295
"2018-10-04",542033
"2018-10-05",543154
"2018-10-06",543963
"2018-10-07",544939
"2018-10-08",545874
"2018-10-09",546763
"2018-10-10",547762
"2018-10-11",548689
"2018-10-12",549559
"2018-10-13",550446
"2018-10-14",551160
"2018-10-15",551890
"2018-10-16",552770
"2018-10-17",553790
"2018-10-18",554679
"2018-10-19",556131
"2018-10-20",557110
"2018-10-21",557924
"2018-10-22",558562
"2018-10-23",559446
"2018-10-24",560531
"2018-10-25",561335
"2018-10-26",562107
"2018-10-27",563036
"2018-10-28",563926
"2018-10-29",564735
"2018-10-30",565527
"2018-10-31",566413
"2018-11-01",567437
"2018-11-02",568410
"2018-11-03",569282
"2018-11-04",570249
"2018-11-05",571212
"2018-11-06",572101
"2018-11-07",572812
"2018-11-08",573755
"2018-11-09",574668
"2018-11-10",575474
"2018-11-11",576192
"2018-11-12",576999
"2018-11-13",578044
"2018-11-14",579134
"2018-11-15",580663
"2018-11-16",581792
"2018-11-17",582691
"2018-11-18",583745
"2018-11-19",584496
"2018-11-20",585289
"2018-11-21",586276
"2018-11-22",587426
"2018-11-23",588306
"2018-11-24",589169
"2018-11-25",589973
"2018-11-26",591096
"2018-11-27",592160
"2018-11-28",593190
"2018-11-29",594088
"2018-11-30",595027
"2018-12-01",596477
"2018-12-02",597456
"2018-12-03",598486
"2018-12-04",599570
"2018-12-05",608640
"2018-12-06",609794
"2018-12-07",612002
"2018-12-08",613776
"2018-12-09",614965
"2018-12-10",616084
"2018-12-11",617073
"2018-12-12",618106
"2018-12-13",619194
"2018-12-14",620296
"2018-12-15",621557
"2018-12-16",622628
"2018-12-17",623449
"2018-12-18",624311
"2018-12-19",625223
"2018-12-20",626268
"2018-12-21",627106
"2018-12-22",628003
"2018-12-23",628990
"2018-12-24",629934
"2018-12-25",630704
"2018-12-26",631492
"2018-12-27",632175
"2018-12-28",633074
"2018-12-29",633973
"2018-12-30",634641
"2018-12-31",635378
"2019-01-01",636075
"2019-01-02",636810
"2019-01-03",637569
"2019-01-04",638291
"2019-01-05",638994
"2019-01-06",639756
"2019-01-07",640720
"2019-01-08",641448
"2019-01-09",642162
"2019-01-10",643632
"2019-01-11",645445
"2019-01-12",646640
"2019-01-13",648002
"2019-01-14",649161
"2019-01-15",650178
"2019-01-16",651131
"2019-01-17",652232
"2019-01-18",653260
"2019-01-19",654484
"2019-01-20",656094
"2019-01-21",657274
"2019-01-22",658133
"2019-01-23",659191
"2019-01-24",660131
"2019-01-25",661205
"2019-01-26",662802
"2019-01-27",664073
"2019-01-28",665205
"2019-01-29",666266
"2019-01-30",667383
"2019-01-31",668221
"2019-02-01",669400
"2019-02-02",670403
"2019-02-03",671536
"2019-02-04",672557
"2019-02-05",673537
"2019-02-06",674384
"2019-02-07",675170
"2019-02-08",675911
"2019-02-09",677224
"2019-02-10",678487
"2019-02-11",679855
"2019-02-12",681084
"2019-02-13",682371
"2019-02-14",683567
"2019-02-15",684673
"2019-02-16",686062
"2019-02-17",687469
"2019-02-18",688675
"2019-02-19",689695
"2019-02-20",690837
"2019-02-21",692207
"2019-02-22",693505
"2019-02-23",694911
"2019-02-24",695795
"2019-02-25",696685
"2019-02-26",697622
"2019-02-27",698542
"2019-02-28",699462
"2019-03-01",700638
"2019-03-02",702130
"2019-03-03",703513
"2019-03-04",704638
"2019-03-05",705833
"2019-03-06",707118
"2019-03-07",708233
"2019-03-08",709704
"2019-03-09",711068
"2019-03-10",712371
"2019-03-11",713775
"2019-03-12",715327
"2019-03-13",716609
"2019-03-14",717778
"2019-03-15",719333
"2019-03-16",720961
"2019-03-17",722367
"2019-03-18",723569
"2019-03-19",724870
"2019-03-20",726234
"2019-03-21",727861
"2019-03-22",729484
"2019-03-23",730791
"2019-03-24",732131
"2019-03-25",733591
"2019-03-26",735174
"2019-03-27",736574
"2019-03-28",738046
"2019-03-29",739478
"2019-03-30",741338
"2019-03-31",743292
"2019-04-01",744696
"2019-04-02",746109
"2019-04-03",747174
"2019-04-04",748341
"2019-04-05",749384
"2019-04-06",750524
"2019-04-07",751550
"2019-04-08",752487
"2019-04-09",753398
"2019-04-10",754249
"2019-04-11",755019
"2019-04-12",755893
"2019-04-13",757119
"2019-04-14",758258
"2019-04-15",759123
"2019-04-16",760093
"2019-04-17",761207
"2019-04-18",762311
"2019-04-19",763290
"2019-04-20",764414
"2019-04-21",765349
"2019-04-22",766211
"2019-04-23",767178
"2019-04-24",768285
"2019-04-25",769263
"2019-04-26",770105
"2019-04-27",771338
"2019-04-28",772526
"2019-04-29",773544
"2019-04-30",774609
"2019-05-01",775883
"2019-05-02",777049
"2019-05-03",778003
"2019-05-04",779238
"2019-05-05",780274
"2019-05-06",781362
"2019-05-07",782287
"2019-05-08",783169
"2019-05-09",784284
"2019-05-10",785544
"2019-05-11",786749
"2019-05-12",787798
"2019-05-13",788792
"2019-05-14",789841
"2019-05-15",790696
"2019-05-16",791754
"2019-05-17",792638
"2019-05-18",793678
"2019-05-19",794759
"2019-05-20",795677
"2019-05-21",796707
"2019-05-22",798030
"2019-05-23",799191
"2019-05-24",800560
"2019-05-25",801890
"2019-05-26",803162
"2019-05-27",804677
"2019-05-28",805955
"2019-05-29",807240
"2019-05-30",808875
"2019-05-31",810181
"2019-06-01",811114
"2019-06-02",812081
"2019-06-03",813089
"2019-06-04",814081
"2019-06-05",815451
"2019-06-06",816756
"2019-06-07",818194
"2019-06-08",819160
"2019-06-09",820521
"2019-06-10",821700
"2019-06-11",823056
"2019-06-12",824915
"2019-06-13",826978
"2019-06-14",828186
"2019-06-15",829271
"2019-06-16",830561
"2019-06-17",831675
"2019-06-18",832962
"2019-06-19",834196
"2019-06-20",835051
"2019-06-21",836296
"2019-06-22",837624
"2019-06-23",838988
"2019-06-24",840184
"2019-06-25",841094
"2019-06-26",842111
"2019-06-27",843024
"2019-06-28",843727
"2019-06-29",844656
"2019-06-30",845417
"2019-07-01",846000
"2019-07-02",846605
"2019-07-03",847383
"2019-07-04",848281
"2019-07-05",848914
"2019-07-06",849829
"2019-07-07",850714
"2019-07-08",851721
"2019-07-09",853143
"2019-07-10",854186
"2019-07-11",854896
"2019-07-12",855680
"2019-07-13",856467
"2019-07-14",857279
"2019-07-15",858084
"2019-07-16",858532
"2019-07-17",859304
"2019-07-18",860705
"2019-07-19",861529
"2019-07-20",862674
"2019-07-21",863514
"2019-07-22",864274
"2019-07-23",865013
"2019-07-24",865826
"2019-07-25",866473
"2019-07-26",867221
"2019-07-27",867844
"2019-07-28",868440
"2019-07-29",869229
"2019-07-30",869943
"2019-07-31",870835
"2019-08-01",871680
"2019-08-02",872557
"2019-08-03",873396
"2019-08-04",874615
"2019-08-05",875552
"2019-08-06",876325
"2019-08-07",877305
"2019-08-08",878201
"2019-08-09",878905
"2019-08-10",879512
"2019-08-11",880271
"2019-08-12",881050
"2019-08-13",882167
"2019-08-14",883030
"2019-08-15",883720
"2019-08-16",884586
"2019-08-17",885511
"2019-08-18",886421
"2019-08-19",887128
"2019-08-20",888013
"2019-08-21",888705
"2019-08-22",889571
"2019-08-23",890414
"2019-08-24",891337
"2019-08-25",892082
"2019-08-26",892705
"2019-08-27",893288
"2019-08-28",893961
"2019-08-29",894626
"2019-08-30",895239
"2019-08-31",896370
"2019-09-01",897244
"2019-09-02",897936
"2019-09-03",898539
"2019-09-04",899230
"2019-09-05",899766
"2019-09-06",900274
"2019-09-07",900781
"2019-09-08",901241
"2019-09-09",901809
"2019-09-10",902320
"2019-09-11",902824
"2019-09-12",903419
"2019-09-13",904001
"2019-09-14",904621
"2019-09-15",905454
"2019-09-16",905886
"2019-09-17",906428
"2019-09-18",906883
"2019-09-19",907351
"2019-09-20",907756
"2019-09-21",908431
"2019-09-22",908988
"2019-09-23",909623
"2019-09-24",910104
"2019-09-25",910618
"2019-09-26",911106
"2019-09-27",911570
"2019-09-28",912129
"2019-09-29",912750
"2019-09-30",913279
"2019-10-01",913890
"2019-10-02",914406
"2019-10-03",914981
"2019-10-04",915629
"2019-10-05",916247
"2019-10-06",917292
"2019-10-07",918066
"2019-10-08",918965
"2019-10-09",919663
"2019-10-10",920261
"2019-10-11",920965
"2019-10-12",921849
"2019-10-13",922487
"2019-10-14",922981
"2019-10-15",923600
"2019-10-16",924503
"2019-10-17",925299
"2019-10-18",926105
"2019-10-19",927006
"2019-10-20",927902
"2019-10-21",928840
"2019-10-22",929934
"2019-10-23",930621
"2019-10-24",931319
"2019-10-25",932207
"2019-10-26",933280
"2019-10-27",934226
"2019-10-28",935260
"2019-10-29",936081
"2019-10-30",936927
"2019-10-31",937826
"2019-11-01",938655
"2019-11-02",939521
"2019-11-03",940280
"2019-11-04",941051
"2019-11-05",941803
"2019-11-06",942595
"2019-11-07",943194
"2019-11-08",943756
"2019-11-09",944641
"2019-11-10",945446
"2019-11-11",946188
"2019-11-12",946937
"2019-11-13",947964
"2019-11-14",948575
"2019-11-15",949115
"2019-11-16",949746
"2019-11-17",950426
"2019-11-18",951052
"2019-11-19",951653
"2019-11-20",952350
"2019-11-21",952999
"2019-11-22",963995
"2019-11-23",977503
"2019-11-24",994118
"2019-11-25",1001638
"2019-11-26",1010335
"2019-11-27",1019700
"2019-11-28",1028133
"2019-11-29",1043863
"2019-11-30",1054196
"2019-12-01",1067693
"2019-12-02",1079092
"2019-12-03",1085739
"2019-12-04",1091599
"2019-12-05",1097338
"2019-12-06",1103942
"2019-12-07",1110994
"2019-12-08",1119133
"2019-12-09",1126444
"2019-12-10",1131842
"2019-12-11",1136812
"2019-12-12",1140773
"2019-12-13",1144364
"2019-12-14",1147459
"2019-12-15",1151038
"2019-12-16",1154194
"2019-12-17",1155934
"2019-12-18",1158212
"2019-12-19",1160411
"2019-12-20",1163058
"2019-12-21",1167774
"2019-12-22",1172970
"2019-12-23",1175313
"2019-12-24",1177542
"2019-12-25",1179704
"2019-12-26",1181961
"2019-12-27",1185984
"2019-12-28",1190579
"2019-12-29",1195993
"2019-12-30",1199733
"2019-12-31",1203672
"2020-01-01",1207525
"2020-01-02",1213972
"2020-01-03",1219710
"2020-01-04",1229642
"2020-01-05",1236806
"2020-01-06",1240922
"2020-01-07",1247120
"2020-01-08",1251481
"2020-01-09",1256600
"2020-01-10",1261297
"2020-01-11",1266297
"2020-01-12",1272931
"2020-01-13",1278565
"2020-01-14",1282895
"2020-01-15",1287450
"2020-01-16",1289602
"2020-01-17",1291849
"2020-01-18",1295445
"2020-01-19",1299619
"2020-01-20",1303910
"2020-01-21",1307757
"2020-01-22",1310673
"2020-01-23",1315119
"2020-01-24",1328121
"2020-01-25",1335179
"2020-01-26",1343373
"2020-01-27",1349648
"2020-01-28",1354314
"2020-01-29",1357738
"2020-01-30",1360092
"2020-01-31",1363581
"2020-02-01",1368082
"2020-02-02",1370241
"2020-02-03",1372030
"2020-02-04",1373337
"2020-02-05",1374890
"2020-02-06",1376335
"2020-02-07",1378360
"2020-02-08",1384643
"2020-02-09",1396407
"2020-02-10",1400160
"2020-02-11",1402970
"2020-02-12",1405531
"2020-02-13",1408165
"2020-02-14",1409940
"2020-02-15",1411391
"2020-02-16",1412761
"2020-02-17",1415455
"2020-02-18",1417165
"2020-02-19",1418965
"2020-02-20",1420861
"2020-02-21",1423219
"2020-02-22",1425904
"2020-02-23",1429194
"2020-02-24",1433323
"2020-02-25",1435486
"2020-02-26",1437773
"2020-02-27",1441028
"2020-02-28",1443372
"2020-02-29",1449516
"2020-03-01",1454588
"2020-03-02",1463883
"2020-03-03",1465797
"2020-03-04",1468737
"2020-03-05",1471529
"2020-03-06",1474513
"2020-03-07",1478415
"2020-03-08",1480605
"2020-03-09",1482347
"2020-03-10",1486080
"2020-03-11",1492626
"2020-03-12",1495395
"2020-03-13",1496535
"2020-03-14",1499230
"2020-03-15",1503367
"2020-03-16",1508602
"2020-03-17",1514061
"2020-03-18",1520348
"2020-03-19",1524389
"2020-03-20",1527638
"2020-03-21",1530481
"2020-03-22",1532091
"2020-03-23",1534114
"2020-03-24",1535702
"2020-03-25",1537395
"2020-03-26",1540716
"2020-03-27",1543624
"2020-03-28",1548961
"2020-03-29",1551530
"2020-03-30",1554244
"2020-03-31",1556891
"2020-04-01",1561316
"2020-04-02",1563027
"2020-04-03",1567688
"2020-04-04",1576217
"2020-04-05",1579847
"2020-04-06",1585170
"2020-04-07",1587947
"2020-04-08",1590048
"2020-04-09",1591946
"2020-04-10",1593715
"2020-04-11",1597986
"2020-04-12",1601292
"2020-04-13",1603906
"2020-04-14",1610013
"2020-04-15",1612590
"2020-04-16",1614259
"2020-04-17",1616166
"2020-04-18",1618299
"2020-04-19",1621237
"2020-04-20",1622412
"2020-04-21",1623831
"2020-04-22",1625668
"2020-04-23",1627309
"2020-04-24",1628916
"2020-04-25",1631430
"2020-04-26",1633474
"2020-04-27",1635790
"2020-04-28",1637985
"2020-04-29",1639189
"2020-04-30",1640208
"2020-05-01",1642273
"2020-05-02",1644136
"2020-05-03",1647343
"2020-05-04",1648585
"2020-05-05",1649558
"2020-05-06",1650350
"2020-05-07",1651002
"2020-05-08",1651731
"2020-05-09",1652744
"2020-05-10",1653576
"2020-05-11",1654291
"2020-05-12",1655052
"2020-05-13",1655688
"2020-05-14",1656325
"2020-05-15",1657306
"2020-05-16",1658197
"2020-05-17",1659201
"2020-05-18",1659881
"2020-05-19",1660618
"2020-05-20",1661497
"2020-05-21",1662228
"2020-05-22",1663116
"2020-05-23",1664828
"2020-05-24",1665894
"2020-05-25",1666510
"2020-05-26",1667255
"2020-05-27",1667903
"2020-05-28",1668636
"2020-05-29",1669356
"2020-05-30",1669972
"2020-05-31",1670781
"2020-06-01",1671380
"2020-06-02",1671930
"2020-06-03",1672518
"2020-06-04",1673371
"2020-06-05",1674172
"2020-06-06",1675020
"2020-06-07",1675687
"2020-06-08",1676244
"2020-06-09",1676857
"2020-06-10",1677534
"2020-06-11",1678258
"2020-06-12",1678820
"2020-06-13",1679556
"2020-06-14",1680650
"2020-06-15",1681289
"2020-06-16",1681854
